Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,137.14,0,0
213.39,149.32,0,0.0
346.91,150.8,12.18,0.0
549.67,141.73,13.66,0.0
842.06,125.48,13.66,-9.07
1145.68,109.04,13.66,-25.32
1455.83,112.11,13.66,-41.76
1738.11,116.01,16.73,-41.76
1986.61,109.4,20.63,-41.76
2220.81,104.1,20.63,-48.37
2677.26,95.04,20.63,-53.67
3360.79,101.81,20.63,-62.73
4307.46,95.84,27.4,-62.73
4767.7,80.84,27.4,-68.7
5037.31,75.14,27.4,-83.7
5322.02,74.35,27.4,-89.4
5646.02,66.21,27.4,-90.19
6171.89,60.25,27.4,-98.33
6415.37,56.7,27.4,-104.29
6686.21,55.46,27.4,-107.84
6964.96,63.94,27.4,-109.08
7214.0,61.85,35.88,-109.08
7470.8,68.55,35.88,-111.17
7686.81,74.87,42.58,-111.17
7956.84,73.88,48.9,-111.17
8351.8,65.75,48.9,-112.16
8682.53,75.02,48.9,-120.29
9078.91,64.69,58.17,-120.29
9313.67,65.25,58.17,-130.62
9794.6,59.36,58.73,-130.62
10263.21,51.62,58.73,-136.51
11161.11,52.01,58.73,-144.25
11675.91,50.88,59.12,-144.25
12238.38,47.44,59.12,-145.38
12634.39,51.11,59.12,-148.82
12860.7,66.46,62.79,-148.82
13187.02,51.2,78.14,-148.82
14045.69,53.04,78.14,-164.08
14427.07,44.11,79.98,-164.08
15085.03,43.0,79.98,-173.01
15576.54,48.54,79.98,-174.12
15684.87,52.96,85.52,-174.12
16012.92,54.67,89.94,-174.12
16816.9,57.76,91.65,-174.12
17398.49,62.23,94.74,-174.12
17957.61,62.22,99.21,-174.12
18347.6,73.38,99.21,-174.13
18767.34,71.14,110.37,-174.13
19211.31,67.52,110.37,-176.37
19676.49,47.72,110.37,-179.99
20045.54,52.63,110.37,-199.79
20420.19,55.33,115.28,-199.79
20858.24,49.73,117.98,-199.79
21226.59,48.05,117.98,-205.39
21649.09,45.91,117.98,-207.07
21961.99,43.53,117.98,-209.21
22316.36,47.08,117.98,-211.59
22694.09,43.07,121.53,-211.59
23159.16,44.57,121.53,-215.6
23444.42,48.82,123.03,-215.6
23804.75,48.99,127.28,-215.6
24133.5,50.66,127.45,-215.6
24435.04,56.66,129.12,-215.6
24869.46,55.76,135.12,-215.6
25125.27,60.23,135.12,-216.5
25512.73,45.95,139.59,-216.5
25775.53,27.33,139.59,-230.78
26007.91,20.43,139.59,-249.4
26260.21,20.78,139.59,-256.3
26547.53,26.81,139.94,-256.3
26943.31,42.38,145.97,-256.3
27041.33,51.45,161.54,-256.3
27172.92,44.98,170.61,-256.3
27346.29,44.32,170.61,-262.77
27537.97,37.87,170.61,-263.43
27762.83,39.36,170.61,-269.88
27919.67,39.12,172.1,-269.88
28111.54,38.71,172.1,-270.12
28302.35,35.51,172.1,-270.53
28524.2,33.29,172.1,-273.73
28621.76,35.34,172.1,-275.95
28716.8,35.34,174.15,-275.95
28795.53,35.67,174.15,-275.95
28878.12,35.47,174.48,-275.95
28962.93,39.06,174.48,-276.15
29055.64,46.15,178.07,-276.15
29334.6,55.69,185.16,-276.15
29447.8,56.14,194.7,-276.15
29646.62,52.6,195.15,-276.15
29849.15,52.0,195.15,-279.69
29909.44,50.17,195.15,-280.29
30060.85,47.94,195.15,-282.12
30168.33,45.52,195.15,-284.35
30263.26,43.07,195.15,-286.77
30333.05,40.9,195.15,-289.22
30408.62,38.94,195.15,-291.39
30513.03,38.97,195.15,-293.35
30580.58,42.63,195.18,-293.35
30656.75,44.25,198.84,-293.35
30901.39,46.75,200.46,-293.35
31078.9,33.79,202.96,-293.35
31132.14,35.68,202.96,-306.31
31212.07,36.79,204.85,-306.31
31370.69,36.54,205.96,-306.31
31466.2,40.89,205.96,-306.56
31601.8,46.08,210.31,-306.56
31725.29,49.21,215.5,-306.56
31834.93,50.59,218.63,-306.56
32012.13,52.92,220.01,-306.56
32126.83,52.07,222.34,-306.56
32274.01,51.69,222.34,-307.41
32385.74,48.88,222.34,-307.79
32452.18,49.01,222.34,-310.6
32530.68,50.45,222.47,-310.6
32627.28,52.16,223.91,-310.6
32782.31,51.46,225.62,-310.6
33058.2,55.97,225.62,-311.3
33243.32,65.51,230.13,-311.3
33412.84,69.28,239.67,-311.3
33587.37,76.78,243.44,-311.3
33770.26,82.21,250.94,-311.3
33850.9,78.67,256.37,-311.3
33996.28,75.25,256.37,-314.84
34113.66,74.03,256.37,-318.26
34150.69,74.33,256.37,-319.48
34206.37,73.36,256.67,-319.48
34272.14,72.09,256.67,-320.45
34330.66,70.46,256.67,-321.72
34378.64,70.89,256.67,-323.35
34458.83,71.25,257.1,-323.35
34563.41,65.13,257.46,-323.35
34678.28,55.8,257.46,-329.47
34837.46,50.86,257.46,-338.8
35004.44,43.73,257.46,-343.74
35424.9,52.97,257.46,-350.87
35552.92,56.68,266.7,-350.87
35666.02,53.35,270.41,-350.87
35818.28,48.63,270.41,-354.2
35978.53,41.24,270.41,-358.92
36059.98,46.27,270.41,-366.31
36097.42,46.19,275.44,-366.31
36402.76,39.03,275.44,-366.39
36483.47,39.53,275.44,-373.55
36666.85,31.57,275.94,-373.55
37025.17,32.84,275.94,-381.51
37566.09,44.91,277.21,-381.51
37788.04,37.04,289.28,-381.51
38058.21,34.67,289.28,-389.38
38358.89,25.59,289.28,-391.75
38850.15,25.47,289.28,-400.83
39723.81,13.83,289.28,-400.95
40368.61,9.1,289.28,-412.59
41077.05,12.42,289.28,-417.32
41212.64,11.36,292.6,-417.32
41590.59,18.4,292.6,-418.38
41760.07,17.21,299.64,-418.38
41972.34,10.45,299.64,-419.57
42207.8,15.39,299.64,-426.33
